,neg,neu,pos,compound
1991,0.059492555523568476,0.8005010955934707,0.06546952056940078,0.07453682831355998
1992,0.052926951890493075,0.8010691757401598,0.06230400663848565,0.08369986573086145
1993,0.05290481523197773,0.7871193449013486,0.06399634870535918,0.09597949116131449
1994,0.05375218768856852,0.7810607211975114,0.0656199188562132,0.09956717225770707
1995,0.0564995416118102,0.7888157385827776,0.06625792373998655,0.0884267960654257
1996,0.06199799249105089,0.8042254840478267,0.06983123726148248,0.06394528619963993
1997,0.05725054864584226,0.7562973319441744,0.07768825824351025,0.10876386116647309
1998,0.056234789273558426,0.753326430009695,0.07753982642054016,0.11289895429620637
1999,0.055576032091767626,0.7448265482931149,0.07799681506286774,0.12160060455224968
2000,0.054126861407463214,0.7485815081746475,0.07636832282143474,0.12092330759645459
